year,moran_i,expected_i,p_greater,p_two_sided,n_provinces,n_permutations,seed
2011,0.40621994007479584,-0.034482758620689655,0.002,0.002,30,999,20260507
2012,0.4146352444093283,-0.034482758620689655,0.001,0.001,30,999,20260507
2013,0.3040286829848677,-0.034482758620689655,0.013,0.013,30,999,20260507
2014,0.28772013572645144,-0.034482758620689655,0.013,0.013,30,999,20260507
2015,0.27366562925909776,-0.034482758620689655,0.013,0.013,30,999,20260507
2016,0.28369141669514214,-0.034482758620689655,0.015,0.015,30,999,20260507
2017,0.27713661755655417,-0.034482758620689655,0.009,0.009,30,999,20260507
2018,0.2732444210357011,-0.034482758620689655,0.017,0.017,30,999,20260507
2019,0.28891592453399284,-0.034482758620689655,0.016,0.016,30,999,20260507
2020,0.27881568672836093,-0.034482758620689655,0.01,0.01,30,999,20260507
2021,0.25251465886914193,-0.034482758620689655,0.024,0.024,30,999,20260507
2022,0.2437053444825293,-0.034482758620689655,0.026,0.026,30,999,20260507
