weight_name,weight_file,model,key_term,coefficient,std_err,z_or_t_stat,p_value,aic,log_likelihood,n_obs,interpretation_note
adjacency,data_raw\spatial_weights.csv,SAR,W_carbon_intensity,0.37621089384516637,0.050135974834591944,7.503811286932332,6.19885286872891e-14,1329.297162092544,-644.648581046272,360,Spatial dependence of carbon intensity.
adjacency,data_raw\spatial_weights.csv,SEM,lambda,-0.0328528692178719,0.07318509761241716,-0.44890107808365926,0.6535030183318864,1360.0102635384314,-661.0051317692157,360,Spatial autocorrelation in the error term.
adjacency,data_raw\spatial_weights.csv,SDM,digital_finance,0.030450265517302975,0.011696722272079508,2.603316109333368,0.009232678227848784,1266.7922700457257,-606.3961350228628,360,Local digital finance coefficient; do not interpret alone as total effect.
adjacency,data_raw\spatial_weights.csv,SDM,W_digital_finance,-0.027107202355405355,0.019490525671288016,-1.3907886740755102,0.16428951857116736,1266.7922700457257,-606.3961350228628,360,Spatial-lag digital finance coefficient; key spillover reference.
geo_distance,data_raw\spatial\spatial_weights_geo_distance.csv,SAR,W_carbon_intensity,0.31360427675910757,0.11647026643127206,2.6925694116460384,0.007090377474612132,1358.1957111224258,-659.0978555612129,360,Spatial dependence of carbon intensity.
geo_distance,data_raw\spatial\spatial_weights_geo_distance.csv,SEM,lambda,-0.88842787056355,0.22091446224146477,-4.021592165353471,5.780608130779484e-05,1352.5515230638853,-657.2757615319426,360,Spatial autocorrelation in the error term.
geo_distance,data_raw\spatial\spatial_weights_geo_distance.csv,SDM,digital_finance,0.026488990259584403,0.00947003132186876,2.7971386111906993,0.005155740916167007,1251.7146446185743,-598.8573223092872,360,Local digital finance coefficient; do not interpret alone as total effect.
geo_distance,data_raw\spatial\spatial_weights_geo_distance.csv,SDM,W_digital_finance,-0.09026228155398523,0.05397648612688869,-1.6722519013519217,0.09447465989674615,1251.7146446185743,-598.8573223092872,360,Spatial-lag digital finance coefficient; key spillover reference.
economic_distance,data_raw\spatial\spatial_weights_economic_distance.csv,SAR,W_carbon_intensity,-0.324056503727087,0.08971369106965954,-3.612118728628259,0.00030370544889285435,1344.5740245155007,-652.2870122577503,360,Spatial dependence of carbon intensity.
economic_distance,data_raw\spatial\spatial_weights_economic_distance.csv,SEM,lambda,-0.556714261331795,0.10344947006173517,-5.381509069109456,7.386398154970665e-08,1333.6192851003166,-647.8096425501583,360,Spatial autocorrelation in the error term.
economic_distance,data_raw\spatial\spatial_weights_economic_distance.csv,SDM,digital_finance,0.018585636262417625,0.00789405829768621,2.3543829500049642,0.018553485932745768,1227.8508464136441,-586.9254232068221,360,Local digital finance coefficient; do not interpret alone as total effect.
economic_distance,data_raw\spatial\spatial_weights_economic_distance.csv,SDM,W_digital_finance,0.03384047063441055,0.02938300476684972,1.1517021796419473,0.2494434763019172,1227.8508464136441,-586.9254232068221,360,Spatial-lag digital finance coefficient; key spillover reference.
