paper_section,source_table,key_result,statistic,paper_interpretation,writing_status,do_not_write
数据质量与变量审计,table00_data_quality_report.csv; table00b_variable_consistency_audit.csv,正式样本为2011-2022年中国大陆30个省级地区，共360条观测；核心变量无缺失，变量一致性审计通过。,n_obs=360; province_count=30; audit_passed=True,可作为数据可靠性和变量构造可信度的基础说明，支撑后续实证分析。,可直接写入论文的数据来源与变量说明部分。,不要写31个省份、34个省份或包含西藏的正式样本。
基准回归,table03_baseline_regression.csv,全国平均基准回归中digital_finance系数为正但不显著。,"coef=0.0096, p=0.2229",说明普通基准回归下数字普惠金融的全国平均效应方向不稳定，不能直接得出显著降碳结论。,作为引出空间相关性、区域异质性和权重矩阵稳健性的铺垫。,不要写数字普惠金融显著降低全国碳强度；不要写方向符合降碳预期。
空间自相关检验,table04_moran_i_by_year.csv,2011-2022年Moran's I均为正且显著。,Moran's I range=0.244-0.415; max_p_two_sided=0.026,说明省域碳强度存在稳定的空间正相关和空间集聚特征，有必要引入空间计量模型。,可作为空间模型设定的核心依据。,不要只依赖OLS解释低碳转型；不要忽略空间依赖。
空间计量模型,table05_spatial_model_comparison.csv; table06_spatial_effect_decomposition.csv,SAR空间滞后项显著为正；SEM误差项不显著；SDM中本地digital_finance显著为正，W_digital_finance为负但不显著。,"SAR W_carbon_intensity=0.3762, p=6.199e-14; SEM lambda=-0.0329, p=0.6535; SDM digital_finance=0.0305, p=0.0092; SDM W_digital_finance=-0.0271, p=0.1643",碳强度空间依赖稳健存在，但数字普惠金融本地效应和空间溢出效应不能被解释为稳健降碳证据。,可写空间依赖显著；空间溢出只能写方向性线索。,不要写显著空间溢出效应已经成立；不要把本地正系数解释成低碳促进。
普通稳健性检验,table07_robustness_checks.csv,滞后一期、创新变换、剔除城镇化、GDP取对数等普通稳健性下，核心变量方向和显著性仍不稳定。,baseline and robustness p-values are not conventionally significant for the expected negative effect.,说明不应过度强调全国平均直接效应，而应把论文重点放在空间依赖、区域异质性和权重矩阵敏感性上。,作为谨慎性说明，不作为强结论。,不要写所有稳健性检验均支持核心结论。
区域异质性,table08_heterogeneity_by_region.csv,东部地区呈边际负向关系；中部和西部为负但不显著；东北显著为正但样本较小。,"East coef=-0.0055, p=0.0638; Central coef=-0.0632, p=0.2253; West coef=-0.0017, p=0.9410; Northeast coef=0.0590, p=0.0000",东部10省、120条观测提供边际负向线索；东北仅3省、36条观测，需谨慎作为现象讨论。,可用于解释全国平均效应不稳定，并引出分区政策建议。,不要写东中西均显著；不要把东北结果上升为稳健规律。
空间权重矩阵稳健性,table09_spatial_weight_robustness.csv,邻接矩阵下W_digital_finance为负但不显著；地理距离矩阵下为负且接近10%边际显著；经济距离矩阵下不显著且转正。,"Adjacency coef=-0.0271, p=0.1643; Geo-distance coef=-0.0903, p=0.0945; Economic-distance coef=0.0338, p=0.2494",数字普惠金融空间溢出对权重矩阵设定敏感，地理邻近渠道存在边际负向证据。,可作为模型优化后的重要补充结果。,不要写空间溢出效应稳健显著；不要把经济距离矩阵结果解释为支持低碳外溢。
机制路径检验,table11_mechanism_tests.csv,技术创新和能源结构路径提供一定线索；产业结构路径支持不足。,"技术创新: path_a coef=0.0071, p=0.0779; path_b coef=-0.8917, p=0.0000 | 产业结构: path_a coef=-0.0003, p=0.3600; path_b coef=3.6832, p=0.0049 | 能源结构: path_a coef=-0.0041, p=0.0000; path_b coef=9.2746, p=0.0000",机制检验用于说明数字普惠金融可能通过技术创新和能源结构调整影响碳强度，但当前结果不能作为严格因果中介识别。,可写入实证结果的机制路径小节，表述为补充证据或路径线索。,仅可写为机制路径线索，不可写为严格因果中介效应。
政策分型,table12_policy_typology.csv,基于数字普惠金融水平与碳强度压力构建四象限政策分型。,示范引领型=10; 重点扶持型=10; 稳态优化型=5; 转型压力型=5,四象限分型用于将实证结果转化为差异化政策建议，支撑第六章政策优化分析。,可写入政策分型与优化建议章节，完整省份名单可放正文表格或附录。,不要写成 TOPSIS/K-means；不要写成因果模型；不要写某类地区必然适用某项政策。
综合结论口径,table03-table12,空间依赖稳健存在，数字普惠金融的全国平均直接效应不稳定，地理邻近下存在边际负向外溢线索，区域差异明显，机制路径和政策分型提供补充支撑。,synthesis of current empirical tables,论文应聚焦空间依赖、区域差异和政策优化，而不是强行宣称数字普惠金融显著降碳。,作为实证小结和政策建议的统一主线。,不要把当前结果包装成所有假设均被强支持。
