province,region,policy_type,kmeans_cluster,kmeans_profile,dominant_quadrant_type,matches_dominant_quadrant,cluster_size,dominant_type_count,digital_finance_mean,carbon_intensity_mean,energy_structure_mean,innovation_mean,kmeans_inertia,random_seed
上海,东部,示范引领型,1,高数字金融-低碳压力,示范引领型,True,5,5,310.7681759803204,0.5770565525661873,0.145008197076522,9.810268773462505,29.7574209958187,2026
北京,东部,示范引领型,1,高数字金融-低碳压力,示范引领型,True,5,5,304.78500792803123,0.32316935315671064,0.0662992716321794,10.562997250634409,29.7574209958187,2026
广东,东部,示范引领型,1,高数字金融-低碳压力,示范引领型,True,5,5,271.9095049309603,0.6817457538192153,0.18151049840171365,10.640730843839298,29.7574209958187,2026
江苏,东部,示范引领型,1,高数字金融-低碳压力,示范引领型,True,5,5,273.27067780085514,0.857445457443461,0.2994973326477168,10.406265988120394,29.7574209958187,2026
浙江,东部,示范引领型,1,高数字金融-低碳压力,示范引领型,True,5,5,294.28598137460125,0.8789987154309405,0.16583664421144176,10.118292578361663,29.7574209958187,2026
四川,西部,示范引领型,2,高数字金融-高碳压力,示范引领型,True,17,5,238.10815830879065,0.8301710448834644,0.32374157193393416,9.133919939685788,29.7574209958187,2026
天津,东部,示范引领型,2,高数字金融-高碳压力,示范引领型,True,17,5,262.6544651834056,1.1937374207963005,0.23223100793441595,8.480289068557573,29.7574209958187,2026
湖北,中部,示范引领型,2,高数字金融-高碳压力,示范引领型,True,17,5,255.1041163956678,0.8961924439019592,0.4190391529844539,9.119546982292528,29.7574209958187,2026
福建,东部,示范引领型,2,高数字金融-高碳压力,示范引领型,True,17,5,272.8299352449904,0.8411226994163288,0.28755311278090573,8.747319487144106,29.7574209958187,2026
重庆,西部,示范引领型,2,高数字金融-高碳压力,示范引领型,True,17,5,245.47751613623927,0.7975932245169233,0.36875504904390694,8.460002050700599,29.7574209958187,2026
云南,西部,稳态优化型,2,高数字金融-高碳压力,示范引领型,False,17,5,224.83562038952292,1.2645417231853886,0.466945223463006,7.6085531946020355,29.7574209958187,2026
广西,西部,稳态优化型,2,高数字金融-高碳压力,示范引领型,False,17,5,230.3985367039122,1.2657119602325473,0.37734294816214,7.914702271255092,29.7574209958187,2026
江西,中部,稳态优化型,2,高数字金融-高碳压力,示范引领型,False,17,5,237.47786317497398,0.9197081105988109,0.42176821626482286,7.648759957346214,29.7574209958187,2026
河南,中部,稳态优化型,2,高数字金融-高碳压力,示范引领型,False,17,5,235.9712721440965,1.3906396983758018,0.3802270820970828,8.716449776626929,29.7574209958187,2026
湖南,中部,稳态优化型,2,高数字金融-高碳压力,示范引领型,False,17,5,232.54722966490257,0.8654421795418873,0.4506563546086734,8.851167008841394,29.7574209958187,2026
安徽,中部,转型压力型,2,高数字金融-高碳压力,示范引领型,False,17,5,244.5836749391348,1.4925064354984003,0.43052730902551023,9.19742629627412,29.7574209958187,2026
山东,东部,转型压力型,2,高数字金融-高碳压力,示范引领型,False,17,5,246.06013297234765,1.8622833268957784,0.35795307627013845,9.729886707315696,29.7574209958187,2026
辽宁,东北,转型压力型,2,高数字金融-高碳压力,示范引领型,False,17,5,239.18529432132118,2.5489139485414496,0.314505581497344,8.731286437819264,29.7574209958187,2026
陕西,西部,转型压力型,2,高数字金融-高碳压力,示范引领型,False,17,5,241.2469497661599,2.74639264788104,0.4337108285006004,8.932576995096372,29.7574209958187,2026
吉林,东北,重点扶持型,2,高数字金融-高碳压力,示范引领型,False,17,5,221.3287818767468,2.0432158748234883,0.3802089992299628,7.855293846692745,29.7574209958187,2026
河北,东部,重点扶持型,2,高数字金融-高碳压力,示范引领型,False,17,5,226.9295628032905,1.9821434845909545,0.5026303221081735,8.30098662982954,29.7574209958187,2026
黑龙江,东北,重点扶持型,2,高数字金融-高碳压力,示范引领型,False,17,5,223.4748290436772,2.656321991033043,0.37371056898978233,8.250739638541907,29.7574209958187,2026
海南,东部,转型压力型,3,低数字金融-高碳压力,重点扶持型,False,4,3,247.0053721614629,1.602444019026958,0.09677864458131441,6.237364238384996,29.7574209958187,2026
新疆,西部,重点扶持型,3,低数字金融-高碳压力,重点扶持型,True,4,3,219.3097097292916,4.205158291343171,0.3013405511390779,6.658647988910572,29.7574209958187,2026
甘肃,西部,重点扶持型,3,低数字金融-高碳压力,重点扶持型,True,4,3,214.8991586207869,2.4901877692763543,0.3499597814250202,7.063303487561466,29.7574209958187,2026
青海,西部,重点扶持型,3,低数字金融-高碳压力,重点扶持型,True,4,3,206.92616629382704,2.4989709570117857,0.26398642674431383,5.33235111271424,29.7574209958187,2026
内蒙古,西部,重点扶持型,4,低数字金融-高碳压力,重点扶持型,True,4,4,226.35044578407562,6.13527355210523,0.49524729587176614,6.713030011742035,29.7574209958187,2026
宁夏,西部,重点扶持型,4,低数字金融-高碳压力,重点扶持型,True,4,4,223.31857736715756,7.454309034791503,0.49726448676277446,6.074127057683255,29.7574209958187,2026
山西,中部,重点扶持型,4,低数字金融-高碳压力,重点扶持型,True,4,4,231.10081338849977,9.773398874497799,0.5452205053014555,7.697250832189103,29.7574209958187,2026
贵州,西部,重点扶持型,4,低数字金融-高碳压力,重点扶持型,True,4,4,215.6849665601052,3.2295800518769866,0.5248991312939995,7.3328201621133955,29.7574209958187,2026
